problem,prompt,model,correctness,LLorTreeorError
21,"Can you write python code to solve “Two Sum”?  Given an array of integers nums and an integer target, return indices of the two numbers such that they add up to target. You may assume that each input would have exactly one solution, and you may not use the same element twice. You can return the answer in any order.  Constraints: 2 <= nums.length <= 10 4 -10 9 <= nums[i] <= 10 9 -10 9 <= target <= 10 9 Only one valid answer exists. Follow-up: Can you come up with an algorithm that is less than O(n 2 ) time complexity?  def two sum(…):",gpt-4o,0,E
2,"Can you write python code to solve “Add Two Numbers”?  You are given two non-empty linked lists representing two non-negative integers. The digits are stored in reverse order, and each of their nodes contains a single digit. Add the two numbers and return the sum as a linked list. You may assume the two numbers do not contain any leading zero, except the number 0 itself.  Constraints: The number of nodes in each linked list is in the range [1, 100]. 0 <= Node.val <= 9 It is guaranteed that the list represents a number that does not have leading zeros.  def add two numbers(…):",gpt-4o,1,L
3,"Can you write python code to solve “Longest Substring Without Repeating Characters”?  Given a string s, find the length of the longest substring without duplicate characters.  Constraints: 0 <= s.length <= 5 * 10 4 s consists of English letters, digits, symbols and spaces.  def longest substring without repeating characters(…):",gpt-4o,0,E
6,"Can you write python code to solve “Zigzag Conversion”?  The string ""PAYPALISHIRING"" is written in a zigzag pattern on a given number of rows like this: (you may want to display this pattern in a fixed font for better legibility) P A H N A P L S I I G Y I R And then read line by line: ""PAHNAPLSIIGYIR"" Write the code that will take a string and make this conversion given a number of rows: string convert(string s, int numRows);  Constraints: 1 <= s.length <= 1000 s consists of English letters (lower-case and upper-case), ',' and '.'. 1 <= numRows <= 1000  def zigzag conversion(…):",gpt-4o,1,
7,"Can you write python code to solve “Reverse Integer”?  Given a signed 32-bit integer x, return x with its digits reversed. If reversing x causes the value to go outside the signed 32-bit integer range [-2 31, 2 31 - 1], then return 0. Assume the environment does not allow you to store 64-bit integers (signed or unsigned).  Constraints: -2 31 <= x <= 2 31 - 1  def reverse integer(…):",gpt-4o,0,E
8,"Can you write python code to solve “String to Integer (atoi)”?  Implement the myAtoi(string s) function, which converts a string to a 32-bit signed integer. The algorithm for myAtoi(string s) is as follows: Whitespace : Ignore any leading whitespace ( "" "" ). Signedness : Determine the sign by checking if the next character is '-' or '+', assuming positivity if neither present. Conversion : Read the integer by skipping leading zeros until a non-digit character is encountered or the end of the string is reached. If no digits were read, then the result is 0. Rounding : If the integer is out of the 32-bit signed integer range [-2 31, 2 31 - 1], then round the integer to remain in the range. Specifically, integers less than -2 31 should be rounded to -2 31, and integers greater than 2 31 - 1 should be rounded to 2 31 - 1. Return the integer as the final result.  Constraints: 0 <= s.length <= 200 s consists of English letters (lower-case and upper-case), digits ( 0-9 ), ' ', '+', '-', and '.'.  def string to integer (atoi)(…):",gpt-4o,1,
9,"Can you write python code to solve “Palindrome Number”?  Given an integer x, return true if x is a palindrome, and false otherwise.  Constraints: -2 31 <= x <= 2 31 - 1 Follow up: Could you solve it without converting the integer to a string?  def palindrome number(…):",gpt-4o,0,E
10,"Can you write python code to solve “Regular Expression Matching”?  Given an input string s and a pattern p, implement regular expression matching with support for '.' and '*' where: '.' Matches any single character.​​​​ '*' Matches zero or more of the preceding element. The matching should cover the entire input string (not partial).  Constraints: 1 <= s.length <= 20 1 <= p.length <= 20 s contains only lowercase English letters. p contains only lowercase English letters, '.', and '*'. It is guaranteed for each appearance of the character '*', there will be a previous valid character to match.  def regular expression matching(…):",gpt-4o,1,
12,"Can you write python code to solve “Integer to Roman”?  Seven different symbols represent Roman numerals with the following values: Symbol Value I 1 V 5 X 10 L 50 C 100 D 500 M 1000 Roman numerals are formed by appending the conversions of decimal place values from highest to lowest. Converting a decimal place value into a Roman numeral has the following rules: If the value does not start with 4 or 9, select the symbol of the maximal value that can be subtracted from the input, append that symbol to the result, subtract its value, and convert the remainder to a Roman numeral. If the value starts with 4 or 9 use the subtractive form representing one symbol subtracted from the following symbol, for example, 4 is 1 ( I ) less than 5 ( V ): IV and 9 is 1 ( I ) less than 10 ( X ): IX. Only the following subtractive forms are used: 4 ( IV ), 9 ( IX ), 40 ( XL ), 90 ( XC ), 400 ( CD ) and 900 ( CM ). Only powers of 10 ( I, X, C, M ) can be appended consecutively at most 3 times to represent multiples of 10. You cannot append 5 ( V ), 50 ( L ), or 500 ( D ) multiple times. If you need to append a symbol 4 times use the subtractive form. Given an integer, convert it to a Roman numeral.  Constraints: 1 <= num <= 3999  def integer to roman(…):",gpt-4o,1,
13,"Can you write python code to solve “Roman to Integer”?  Roman numerals are represented by seven different symbols: I, V, X, L, C, D and M. Symbol Value I 1 V 5 X 10 L 50 C 100 D 500 M 1000 For example, 2 is written as II in Roman numeral, just two ones added together. 12 is written as XII, which is simply X + II. The number 27 is written as XXVII, which is XX + V + II. Roman numerals are usually written largest to smallest from left to right. However, the numeral for four is not IIII. Instead, the number four is written as IV. Because the one is before the five we subtract it making four. The same principle applies to the number nine, which is written as IX. There are six instances where subtraction is used: I can be placed before V (5) and X (10) to make 4 and 9. X can be placed before L (50) and C (100) to make 40 and 90. C can be placed before D (500) and M (1000) to make 400 and 900. Given a roman numeral, convert it to an integer.  Constraints: 1 <= s.length <= 15 s contains only the characters ('I', 'V', 'X', 'L', 'C', 'D', 'M'). It is guaranteed that s is a valid roman numeral in the range [1, 3999].  def roman to integer(…):",gpt-4o,1,
